arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,cluster
6iFojANMgvM,15.168,48000.0,0.1689443,1.0827117,0.1560381203889846,38.981407,0.048995231794624,0.0,0.0,36.0
lyDRORLR4EM,15.522541666666667,48000.0,0.25499445,1.0428796,0.2445099651813507,39.42451,0.0366257887620192,0.0,0.0,57.0
wEi8E5_vQHE,29.5241875,48000.0,0.1610684,1.0289359,0.1565387994050979,30.407413,0.0440800837698699,0.0,0.0,36.0
QON6N0B0L6s,27.178958333333338,48000.0,0.04541507,0.3444602,0.1318441778421402,56.924343,0.0359040922910945,0.0,0.0,50.0
5m-hwR4LCMg,13.1425,48000.0,0.050528847,0.65313953,0.077363021671772,30.25204,0.0391310098590835,0.0,0.0,9.0
xzmogxyvxQ8,32.11320833333333,48000.0,0.121434025,0.6173698,0.1966957747936248,37.01435,0.0621466407028395,0.0,0.0,18.0
mGUDWqu64AM,41.4011875,48000.0,0.2485218,1.1917957,0.2085271924734115,36.29373,0.0509218729875064,0.0,0.0,41.0
I7pKazmlhnM,11.5055,48000.0,0.21090859,1.188451,0.1774651110172271,30.08503,0.0653400863067655,0.0,0.0,41.0
XrUDiEEzyno,30.023416666666662,48000.0,0.06153567,1.0514462,0.0585247948765754,177.51385,0.0430114204040852,0.0,0.0,33.0
N5Gq1IXHyOw,10.936604166666667,48000.0,0.1726875,0.8040747,0.2147654891014099,42.00888,0.0108492667214912,0.0,0.0,26.0
ErkrUvuJJ0g,32.833020833333336,48000.0,0.18317299,1.047573,0.1748546361923217,37.452843,0.040769026317392,0.0,0.0,4.0
sMElajK9uJU,32.98133333333333,48000.0,0.065143354,0.82871306,0.0786078497767448,45.03633,0.029207680397268,1.0,0.030320181112548514,48.0
dHhKrpG98EM,10.170354166666666,48000.0,0.10772543,0.79905164,0.1348166018724441,35.693085,0.073693105509696,0.0,0.0,18.0
Luuxbx8pvwY,26.737791666666663,48000.0,0.07077622,0.89743865,0.078864686191082,27.71574,0.0275426072621659,5.0,0.1870012326497919,35.0
pdoT9YuhZ-U,42.144979166666666,48000.0,0.055294923,0.9934703,0.0556583553552627,45.906693,0.0338575849648912,0.0,0.0,48.0
_p0j_1bN2II,18.053520833333337,48000.0,0.2207199,1.145298,0.1927183121442794,34.675045,0.0580630722090962,0.0,0.0,41.0
axuEcDA13Rg,9.984,48000.0,0.11599176,0.8594731,0.1349568217992782,55.66091,0.0426503510205442,0.0,0.0,61.0
UUZ516bWiZs,18.645625,48000.0,0.09980337,0.76608807,0.1302766352891922,52.961357,0.0570493406946826,0.0,0.0,28.0
MVZZMaJzskU,9.543416666666667,48000.0,0.06352299,0.34677964,0.1831796914339065,32.065395,0.0544807306215083,1.0,0.10478427537307568,50.0
MktTrDVEneY,10.922666666666666,48000.0,0.1119122,0.3108392,0.3600324392318725,53.852028,0.0812819169207317,0.0,0.0,62.0
tx7Nz71N_No,14.605354166666666,48000.0,0.11196116,0.83025974,0.1348507702350616,25.473694,0.057318872604927,0.0,0.0,18.0
TLf0F38J2aM,35.81679166666667,48000.0,0.27852055,1.1550696,0.2411288022994995,49.924984,0.0271218568530375,0.0,0.0,57.0
VuD8Oi2sOPQ,40.948395833333336,48000.0,0.23554678,1.2376785,0.190313383936882,44.8778,0.0659435338792654,0.0,0.0,41.0
6poWLr0o13s,61.02204166666667,48000.0,0.3080317,1.1889933,0.2590693235397339,44.436344,0.0410446436374759,0.0,0.0,15.0
lp3aYnHrdeI,17.298875,48000.0,0.07942116,0.5330245,0.1490009576082229,28.630774,0.0556797163995067,0.0,0.0,18.0
lLbgkvVln7c,29.290666666666667,48000.0,0.10311175,0.56253403,0.1832986921072006,31.86443,0.0398202513537495,0.0,0.0,55.0
bn5IIwSBiow,32.35702083333333,48000.0,0.18091644,1.0487928,0.1724996864795684,186.69495,0.0344124016356295,0.0,0.0,3.0
aaUyUkPsHDE,25.019520833333335,48000.0,0.21222483,1.0390292,0.2042529881000518,187.85211,0.0306607739903026,0.0,0.0,3.0
WVHL3pxl4G8,30.615520833333335,48000.0,0.039385207,0.5054882,0.07791518419981,40.38849,0.0323842207092476,1.0,0.03266317125368737,9.0
FLkZw6PLoLo,22.732354166666667,48000.0,0.078699246,0.75882053,0.1037125959992408,49.59206,0.0385648287259615,0.0,0.0,61.0
6b-QZZnAXF8,27.608541666666667,48000.0,0.23841311,0.85146505,0.2800033986568451,29.05878,0.0523609501738122,0.0,0.0,57.0
WV9ia70IbnM,9.938145833333332,48000.0,0.059181836,0.49218687,0.1202426105737686,31.450712,0.0504139912486588,0.0,0.0,22.0
nopTPtqDek8,37.314479166666665,48000.0,0.031266216,0.9120897,0.0342797599732875,33.549427,0.0948835548996141,8.0,0.2143939880352522,8.0
CrwEu20U5MY,8.021333333333333,48000.0,0.27939877,1.2729247,0.219493567943573,31.436987,0.0776393125415006,0.0,0.0,32.0
PjdIpFTcm30,4.45825,48000.0,0.038606122,0.27018356,0.1428884863853454,34.292065,0.0379329115580143,0.0,0.0,50.0
rnfO2ZJlOs8,10.274833333333332,48000.0,0.34253752,1.1038213,0.310319721698761,56.316063,0.0423847372601141,0.0,0.0,10.0
bkswvQHam0k,18.5063125,48000.0,0.0920042,1.0248774,0.0897709354758262,181.03137,0.0423327179394812,0.0,0.0,33.0
-YCaIZ0geac,64.704,48000.0,0.06715541,0.46718144,0.1437458992004394,40.90216,0.0597290220145871,11.0,0.17000494559841742,46.0
g8nOoW7K7_U,26.644916666666667,48000.0,0.16931449,0.96266955,0.1758801788091659,28.482637,0.0467796111889511,0.0,0.0,4.0
kLnOd31bSus,34.57452083333333,48000.0,0.038117353,0.55989623,0.0680793151259422,36.674774,0.0238747240804287,0.0,0.0,9.0
