arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,duracao_categoria
5BOXA0WEUww.mp3,52.12897916666667,48000,0.08031925,0.9384928,0.0855832323431968,24.32573,0.0572855398424713,0,0.0,45-60s
AtlkiwJ4rbs.mp3,145.51945833333335,48000,0.053186603,0.4252983,0.1250571757555008,72.48429,0.0713802908886425,0,0.0,>60s
zBwEH4gllkM.mp3,198.3680833333333,48000,0.12667935,0.7706127,0.164387822151184,37.13301,0.0782263423822454,0,0.0,>60s
ucEH-PF0GkE.mp3,456.5739791666667,48000,0.111712314,1.050917,0.106299839913845,34.437477,0.0780785149496834,26,0.05694586460545756,>60s
_qx4ml-zkK8.mp3,30.08,48000,0.035058714,0.26866832,0.1304906904697418,43.659725,0.0502794678859447,0,0.0,25-35s
xdMLyNwqdHQ.mp3,102.307125,48000,0.11733036,1.3093971,0.0896063968539238,23.850971,0.0432923025046914,5,0.04887245145438306,>60s
GBExw3_SOpg.mp3,45.8478125,48000,0.037600912,1.0104833,0.0372108221054077,22.290024,0.0594543471228774,1,0.021811291432933685,45-60s
YQZzWHl9Yfw.mp3,99.47429166666667,48000,0.11370091,0.9728984,0.1168682277202606,41.099297,0.0230456603179283,0,0.0,>60s
nOav5gI_k-Q.mp3,47.5776875,48000,0.032682832,0.5549282,0.058895606547594,27.239464,0.0483619537729769,0,0.0,45-60s
Dr7dEUoqfDc.mp3,249.30133333333333,48000,0.06324791,0.99990016,0.0632542297244072,29.906574,0.0586838103460723,4,0.016044839979462606,>60s
m4vqtKal2WA.mp3,678.5335208333333,48000,0.08782714,0.75530523,0.1162803247570991,28.599411,0.050183135596301,2,0.0029475330821441548,>60s
6pPTdmwlFHE.mp3,54.97325,48000,0.06207769,0.9413241,0.0659471973776817,25.962002,0.0545058866596332,0,0.0,45-60s
pJy4eHfipJ8.mp3,27.05125,48000,0.07595454,0.722913,0.1050673276185989,30.034304,0.0274145767638943,1,0.036966868444156926,25-35s
1UdrvDEMCQo.mp3,33.401916666666665,48000,0.18571082,1.0784311,0.1722046136856079,40.462532,0.0381726183349297,0,0.0,25-35s
GXAdEK9ZAuA.mp3,32.10160416666667,48000,0.08585772,0.7448236,0.1152725592255592,45.00029,0.0513512899709302,0,0.0,25-35s
LLjhsVHomPg.mp3,67.721,48000,0.09996291,1.1044027,0.090513102710247,24.893015,0.0512054678886438,2,0.02953293660755157,>60s
HahsN-lrK6s.mp3,18.0303125,48000,0.085305035,1.0145527,0.0840814188122749,24.306213,0.0655024532451212,0,0.0,10-25s
XaWX0PQEkXs.mp3,145.0550625,48000,0.1879849,1.1424203,0.1645496785640716,26.074482,0.0373711632633833,0,0.0,>60s
-HC2fND2ZoM.mp3,1715.0506666666668,48000,0.08460647,1.1876943,0.0712358951568603,25.156193,0.0400135623186653,13,0.007579950990757901,>60s
Ou1RzASAKzU.mp3,20.3406875,48000,0.073406436,0.98021233,0.0748883038759231,24.432728,0.037869065859334,0,0.0,10-25s
EynhnYNmP54.mp3,13.815875,48000,0.058367003,0.65217096,0.0894964784383773,34.20217,0.0380019199701003,0,0.0,10-25s
DQWjCM80PrU.mp3,1414.582875,48000,0.09086711,1.1979725,0.0758507475256919,22.085426,0.0643489982447235,7,0.004948455211576062,>60s
LDsNgfhl6Vs.mp3,14.933333333333334,48000,0.13811876,1.0382018,0.1330365240573883,33.2531,0.041850687009279,0,0.0,10-25s
BO6_wo7ov-I.mp3,13.606895833333333,48000,0.040591925,0.29343706,0.138332650065422,39.39248,0.0472718241820141,0,0.0,10-25s
gYC_g7u7J0Y.mp3,59.946666666666665,48000,0.09813226,1.08131,0.0907531231641769,25.130968,0.0368199330635118,3,0.05004448398576512,45-60s
0zExQK2Lyiw.mp3,35.59620833333334,48000,0.01779027,0.38817832,0.0458301454782485,23.519608,0.0387870555441132,1,0.028092879742575575,35-45s
8oLbsUN68VM.mp3,44.059875,48000,0.059390683,1.1159174,0.0532213933765888,30.155363,0.0384255240483539,0,0.0,35-45s
u4y-4rBIPUQ.mp3,31.5559375,48000,0.09602285,0.6329863,0.1516981571912765,42.301735,0.045792002418469,0,0.0,25-35s
J_Usd7Qa9fk.mp3,73.856,48000,0.04052113,0.97683567,0.0414820350706577,25.495193,0.0421655714124548,4,0.05415944540727903,>60s
iB3mTo1S0rg.mp3,10.727625,48000,0.11497979,0.9292847,0.1237293481826782,45.989,0.0318504014972664,0,0.0,10-25s
CR9ElUe4ZsA.mp3,482.2784583333333,48000,0.055342514,1.0232193,0.0540866553783416,23.427929,0.0553561301878289,10,0.02073490911154975,>60s
0B8Z1KLRVjY.mp3,977.931625,48000,0.11241703,1.2540252,0.0896449461579322,24.205482,0.0451202455822162,2,0.0020451327565973744,>60s
LhbgeONAbZo.mp3,29.094604166666667,48000,0.085237026,0.9979315,0.085413709282875,38.414207,0.0256773649422653,0,0.0,25-35s
l9CZNZ1q3SA.mp3,81.536,48000,0.06341957,0.84766716,0.0748165994882583,23.188143,0.0300501502207325,1,0.012264521193092622,>60s
nNq742Ay7M8.mp3,487.8744791666667,48000,0.08579992,1.0816752,0.0793213322758674,24.016836,0.0499348310693554,17,0.034845028231518735,>60s
y7dOI_F8yVg.mp3,74.304,48000,0.08170174,0.651531,0.1253996193408966,28.422852,0.0431007898844552,3,0.04037467700258398,>60s
