n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette
20,10,0.5,50,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.48984681840872685,0.87,0.21033602952957153
20,10,0.5,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5128659921032264,0.90625,0.07310275733470917
20,10,0.5,50,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5667977839646927,0.81,0.16930527985095978
20,10,0.5,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.5874794983997591,0.8875,0.09096936881542206
20,10,0.5,100,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5038804570206515,0.7333333333333333,0.17422699928283691
20,10,0.5,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.41342357216968495,1.0,0.5144956707954407
20,10,0.5,100,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.49888410570319547,0.8071428571428572,0.17592458426952362
20,10,0.5,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5109890506421717,0.93,0.13835635781288147
20,10,0.5,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5432992397252208,0.85,0.20926092565059662
20,10,0.5,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.5874794983997591,0.8875,0.09096936881542206
20,10,0.5,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.520598645751132,0.77,0.19298022985458374
20,10,0.5,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.41342357216968495,1.0,0.5144956707954407
20,10,0.5,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.45545009547471593,0.825,-0.0264823567122221
20,10,0.5,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5878482033257041,0.9125,0.13875219225883484
20,10,0.5,150,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.478744317483287,0.9,0.30562981963157654
20,10,0.5,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.5874794983997591,0.8875,0.09096936881542206
