n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette
10,10,0.0,50,100,0.1,all-distilroberta-v1,0.576802853786999,0.8428571428571429,0.6645751595497131
10,10,0.0,50,100,0.1,paraphrase-MiniLM-L6-v2,0.4520688366984381,0.85,0.673985481262207
10,10,0.0,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6270174509859484,0.78125,0.36563828587532043
10,10,0.0,100,5,0.1,all-MiniLM-L6-v2,0.4737453563528392,0.85,0.6039548516273499
10,10,0.0,100,5,0.1,all-distilroberta-v1,0.5166142000029261,0.865,0.546328604221344
10,10,0.0,100,5,0.1,paraphrase-MiniLM-L6-v2,0.4385771944519403,0.925,0.6725552082061768
10,10,0.0,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5944545345763764,0.75,0.49390318989753723
10,10,0.0,100,10,0.1,all-MiniLM-L6-v2,0.46673865060762865,0.85,0.6043245196342468
10,10,0.0,100,10,0.1,all-distilroberta-v1,0.5345679937522556,0.8375,0.5904672145843506
10,10,0.0,100,10,0.1,paraphrase-MiniLM-L6-v2,0.46642920213474026,0.875,0.6722320914268494
10,10,0.0,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5761898702116061,0.7769230769230769,0.6093859672546387
10,10,0.0,100,100,0.1,all-MiniLM-L6-v2,0.4490013987549422,0.8,0.6093557476997375
10,10,0.0,100,100,0.1,all-distilroberta-v1,0.576802853786999,0.8428571428571429,0.6645751595497131
10,10,0.0,100,100,0.1,paraphrase-MiniLM-L6-v2,0.4520688366984381,0.85,0.673985481262207
10,10,0.0,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.6132829960078294,0.85,0.6284267902374268
10,10,0.0,150,5,0.1,all-MiniLM-L6-v2,0.4737453563528392,0.85,0.6039548516273499
10,10,0.0,150,5,0.1,all-distilroberta-v1,0.5587187674668517,0.8333333333333334,0.5865521430969238
10,10,0.0,150,5,0.1,paraphrase-MiniLM-L6-v2,0.4385771944519403,0.925,0.6725552082061768
10,10,0.0,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.467022782793149,0.9333333333333333,0.27985358238220215
10,10,0.0,150,10,0.1,all-MiniLM-L6-v2,0.46673865060762865,0.85,0.6043245196342468
10,10,0.0,150,10,0.1,all-distilroberta-v1,0.5185655869314671,0.8083333333333333,0.5403679609298706
10,10,0.0,150,10,0.1,paraphrase-MiniLM-L6-v2,0.46642920213474026,0.875,0.6722320914268494
10,10,0.0,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5914637221861143,0.7277777777777777,0.7043157815933228
10,10,0.0,150,100,0.1,all-MiniLM-L6-v2,0.4490013987549422,0.8,0.6093557476997375
10,10,0.0,150,100,0.1,all-distilroberta-v1,0.576802853786999,0.8428571428571429,0.6645751595497131
10,10,0.0,150,100,0.1,paraphrase-MiniLM-L6-v2,0.4520688366984381,0.85,0.673985481262207
10,10,0.0,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.6237066047209415,0.9375,0.3681117296218872
10,10,0.1,50,5,0.1,all-MiniLM-L6-v2,0.48069273000903223,0.753125,0.546095073223114
10,10,0.1,50,5,0.1,all-distilroberta-v1,0.38519450611109096,0.95,-0.04185711219906807
10,10,0.1,50,5,0.1,paraphrase-MiniLM-L6-v2,0.38581704497504066,0.8,0.645845353603363
10,10,0.1,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5587489681581849,0.825,0.4296712875366211
10,10,0.1,50,10,0.1,all-MiniLM-L6-v2,0.4647249514263417,0.7576923076923077,0.589069664478302
10,10,0.1,50,10,0.1,all-distilroberta-v1,0.4861263689866005,0.8727272727272727,0.3939689099788666
10,10,0.1,50,10,0.1,paraphrase-MiniLM-L6-v2,0.38581704497504066,0.8,0.645845353603363
10,10,0.1,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5636091665835684,0.7807692307692308,0.4037991464138031
10,10,0.1,50,100,0.1,all-MiniLM-L6-v2,0.4483429096816291,0.775,0.5331334471702576
10,10,0.1,50,100,0.1,all-distilroberta-v1,0.5887412297891993,0.9,0.6317884922027588
10,10,0.1,50,100,0.1,paraphrase-MiniLM-L6-v2,0.3990561767883217,0.66,-0.1835433840751648
10,10,0.1,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.631290634668027,0.8333333333333334,0.4384167790412903
10,10,0.1,100,5,0.1,all-MiniLM-L6-v2,0.46515740044619475,0.69,0.5527294278144836
10,10,0.1,100,5,0.1,all-distilroberta-v1,0.5279824460800356,0.8571428571428571,0.5558480620384216
10,10,0.1,100,5,0.1,paraphrase-MiniLM-L6-v2,0.4073752048932063,0.7916666666666666,0.39810997247695923
10,10,0.1,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5768807465230108,0.795,0.5448476672172546
10,10,0.1,100,10,0.1,all-MiniLM-L6-v2,0.48072439955529955,0.825,0.5215862393379211
10,10,0.1,100,10,0.1,all-distilroberta-v1,0.5558035798792422,0.8642857142857143,0.5549048781394958
10,10,0.1,100,10,0.1,paraphrase-MiniLM-L6-v2,0.4239619250893165,0.74375,0.6340404152870178
10,10,0.1,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5863864383908163,0.7636363636363637,0.6186038255691528
10,10,0.1,100,100,0.1,all-MiniLM-L6-v2,0.4483429096816291,0.775,0.5331334471702576
10,10,0.1,100,100,0.1,all-distilroberta-v1,0.5889149836665285,0.83,0.6180029511451721
10,10,0.1,100,100,0.1,paraphrase-MiniLM-L6-v2,0.4416994386604458,0.7333333333333333,-0.05718732997775078
10,10,0.1,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.618249577904832,0.9375,0.4028390347957611
10,10,0.1,150,5,0.1,all-MiniLM-L6-v2,0.46752165626180675,0.7,-0.0933840274810791
10,10,0.1,150,5,0.1,all-distilroberta-v1,0.4697996720735921,0.74,0.3596005141735077
10,10,0.1,150,5,0.1,paraphrase-MiniLM-L6-v2,0.43495635729857357,0.7714285714285715,0.6707760095596313
10,10,0.1,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.6062918490404524,0.7857142857142857,0.5831094980239868
10,10,0.1,150,10,0.1,all-MiniLM-L6-v2,0.48072439955529955,0.825,0.5215862393379211
