n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette,mean_score
10,10,0.1,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.6029237092598163,0.7545454545454545,0.4522359073162079,0.6032350237071595
10,10,0.1,100,100,0.1,all-MiniLM-L6-v2,0.47312893258265254,0.825,0.7902841567993164,0.6961376964606564
10,10,0.1,100,100,0.1,all-distilroberta-v1,0.5897254377741575,0.8166666666666667,0.41618046164512634,0.6075241886953169
10,10,0.1,100,100,0.1,paraphrase-MiniLM-L6-v2,0.4976442736358575,0.875,0.8167729377746582,0.7298057371368385
10,10,0.1,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.6301935486540551,0.9375,0.5201063752174377,0.6959333079571642
10,10,0.1,150,5,0.1,all-MiniLM-L6-v2,0.42661883364401554,0.7833333333333333,0.3531426191329956,0.5210315953701148
10,10,0.1,150,5,0.1,all-distilroberta-v1,0.5700069757464697,0.9,0.26333704590797424,0.5777813405514813
10,10,0.1,150,5,0.1,paraphrase-MiniLM-L6-v2,0.44495896288005876,0.7416666666666667,0.6610913276672363,0.6159056524046539
10,10,0.1,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.6049857182133361,0.8571428571428571,0.47170567512512207,0.6446114168271051
10,10,0.1,150,10,0.1,all-MiniLM-L6-v2,0.42661883364401554,0.7833333333333333,0.35786014795303345,0.5226041049767941
10,10,0.1,150,10,0.1,all-distilroberta-v1,0.5625456310885444,0.94,0.2606440484523773,0.5877298931803072
10,10,0.1,150,10,0.1,paraphrase-MiniLM-L6-v2,0.4745008208253725,0.74,0.5559786558151245,0.5901598255468323
10,10,0.1,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5947113816779314,0.8285714285714286,0.42105260491371155,0.6147784717210238
10,10,0.1,150,100,0.1,all-MiniLM-L6-v2,0.47312893258265254,0.825,0.7902841567993164,0.6961376964606564
10,10,0.1,150,100,0.1,all-distilroberta-v1,0.5918981758326385,0.8,0.4401111304759979,0.6106697687695455
10,10,0.1,150,100,0.1,paraphrase-MiniLM-L6-v2,0.4976442736358575,0.875,0.8167729377746582,0.7298057371368385
10,10,0.1,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.5658088430438322,0.9333333333333333,0.6961090564727783,0.7317504109499812
10,10,0.5,50,5,0.1,all-MiniLM-L6-v2,0.44789839411366345,0.8,0.2261994481086731,0.4913659474074455
10,10,0.5,50,5,0.1,all-distilroberta-v1,0.5441244803879876,0.9,0.23811793327331543,0.5607474712204343
10,10,0.5,50,5,0.1,paraphrase-MiniLM-L6-v2,0.43289762786428043,0.775,0.48032820224761963,0.5627419433706334
10,10,0.5,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.45041831616010586,0.9833333333333333,0.09320100396871567,0.5089842178207182
